Attendance_ID,Employee_ID,Month,Department,Working_Days,Present_Days,Absent_Days,Casual_Leave,Sick_Leave,Earned_Leave,Festival_Holiday_Worked,Late_Days,Scheduled_Hours,Actual_Hours,Overtime_Hours,Max_Daily_Hours,Max_Weekly_Hours,Weekly_Rest_Breach,Leave_Balance,Attendance_Rate,Hours_Compliant
ATT-202601-EMP0001,EMP0001,2026-01-01,Quality Assurance,26,24,1,1,0,0,0,0,208,194,2.2,10.0,48,No,14,92.31,Yes
ATT-202601-EMP0002,EMP0002,2026-01-01,Maintenance,26,23,2,1,0,0,0,0,208,195,11.0,9.0,58,No,20,88.46,Yes
ATT-202601-EMP0003,EMP0003,2026-01-01,Production,26,26,0,0,0,0,0,0,208,211,3.5,8.0,60,No,24,100.0,Yes
ATT-202601-EMP0004,EMP0004,2026-01-01,Supply Chain,26,24,1,1,0,0,0,0,208,192,0,8.0,65,No,21,92.31,No
ATT-202601-EMP0005,EMP0005,2026-01-01,Human Resources,26,22,4,0,0,0,0,1,208,187,11.9,10.0,52,No,27,84.62,Yes
ATT-202601-EMP0006,EMP0006,2026-01-01,Production,26,24,2,0,0,0,0,4,208,193,1.0,8.0,56,No,29,92.31,Yes
ATT-202601-EMP0007,EMP0007,2026-01-01,Production,26,21,3,0,0,2,0,2,208,195,27.1,8.0,60,No,33,80.77,Yes
ATT-202601-EMP0008,EMP0008,2026-01-01,Sales & Marketing,26,26,0,0,0,0,0,3,208,221,13.9,10.0,56,No,25,100.0,Yes
ATT-202601-EMP0009,EMP0009,2026-01-01,Information Technology,26,26,0,0,0,0,1,3,208,224,16.2,9.0,58,No,5,100.0,Yes
ATT-202601-EMP0010,EMP0010,2026-01-01,Sales & Marketing,26,20,3,1,1,1,0,2,208,170,10.2,11.0,56,No,34,76.92,No
ATT-202601-EMP0011,EMP0011,2026-01-01,Human Resources,26,26,0,0,0,0,0,1,208,218,10.7,10.0,60,No,33,100.0,Yes
ATT-202601-EMP0012,EMP0012,2026-01-01,Quality Assurance,26,24,1,0,1,0,0,0,208,196,4.3,10.0,48,No,23,92.31,Yes
ATT-202601-EMP0013,EMP0013,2026-01-01,Maintenance,26,25,1,0,0,0,0,0,208,216,16.4,11.0,48,No,4,96.15,No
ATT-202601-EMP0014,EMP0014,2026-01-01,Maintenance,26,26,0,0,0,0,0,0,208,219,11.9,11.0,56,No,7,100.0,No
ATT-202601-EMP0015,EMP0015,2026-01-01,Maintenance,26,25,1,0,0,0,0,1,208,218,18.1,8.0,56,No,26,96.15,Yes
ATT-202601-EMP0016,EMP0016,2026-01-01,Finance & Accounts,26,20,4,2,0,0,0,4,208,179,19.0,10.0,56,No,28,76.92,Yes
ATT-202601-EMP0017,EMP0017,2026-01-01,Production,26,25,1,0,0,0,0,0,208,223,23.9,9.0,56,No,22,96.15,Yes
ATT-202601-EMP0018,EMP0018,2026-01-01,Administration,26,21,2,1,1,1,0,3,208,184,16.8,10.0,56,No,6,80.77,Yes
ATT-202601-EMP0019,EMP0019,2026-01-01,Maintenance,26,25,1,0,0,0,0,3,208,211,11.1,12.0,62,Yes,24,96.15,No
ATT-202601-EMP0020,EMP0020,2026-01-01,Sales & Marketing,26,25,1,0,0,0,0,1,208,208,8.4,8.0,52,No,16,96.15,Yes
ATT-202601-EMP0021,EMP0021,2026-01-01,Quality Assurance,26,24,2,0,0,0,0,5,208,203,11.0,8.0,60,No,31,92.31,Yes
ATT-202601-EMP0022,EMP0022,2026-01-01,Sales & Marketing,26,24,2,0,0,0,0,3,208,203,11.7,10.0,52,No,32,92.31,Yes
ATT-202601-EMP0023,EMP0023,2026-01-01,Quality Assurance,26,24,1,0,1,0,0,1,208,201,9.2,10.0,56,No,22,92.31,Yes
ATT-202601-EMP0024,EMP0024,2026-01-01,Supply Chain,26,25,1,0,0,0,0,4,208,204,4.1,10.0,56,Yes,23,96.15,No
ATT-202601-EMP0025,EMP0025,2026-01-01,Supply Chain,26,26,0,0,0,0,0,0,208,209,1.5,8.0,56,No,34,100.0,Yes
ATT-202601-EMP0026,EMP0026,2026-01-01,Administration,26,26,0,0,0,0,0,0,208,208,0,8.0,52,No,27,100.0,Yes
ATT-202601-EMP0027,EMP0027,2026-01-01,Production,26,24,1,1,0,0,0,1,208,208,16.2,8.0,48,No,17,92.31,Yes
ATT-202601-EMP0028,EMP0028,2026-01-01,Production,26,23,2,0,1,0,0,3,208,199,15.6,10.0,56,No,5,88.46,Yes
ATT-202601-EMP0029,EMP0029,2026-01-01,Information Technology,26,24,0,1,1,0,0,1,208,195,3.8,8.0,48,Yes,10,92.31,No
ATT-202601-EMP0030,EMP0030,2026-01-01,Information Technology,26,26,0,0,0,0,0,5,208,225,17.6,8.0,56,No,27,100.0,Yes
ATT-202601-EMP0031,EMP0031,2026-01-01,Administration,26,23,0,1,0,2,0,0,208,191,7.2,10.0,56,No,26,88.46,Yes
ATT-202601-EMP0032,EMP0032,2026-01-01,Production,26,22,4,0,0,0,0,2,208,199,23.3,10.0,48,No,23,84.62,Yes
ATT-202601-EMP0033,EMP0033,2026-01-01,Sales & Marketing,26,25,0,0,0,1,0,3,208,205,5.0,10.0,56,No,16,96.15,Yes
ATT-202601-EMP0034,EMP0034,2026-01-01,Production,26,21,4,0,0,1,0,1,208,177,9.8,9.0,52,No,15,80.77,Yes
ATT-202601-EMP0035,EMP0035,2026-01-01,Production,26,21,1,1,0,3,0,2,208,179,11.9,8.0,62,No,24,80.77,No
ATT-202601-EMP0036,EMP0036,2026-01-01,Administration,26,23,1,0,0,2,0,4,208,191,7.5,10.0,56,No,19,88.46,Yes
ATT-202601-EMP0037,EMP0037,2026-01-01,Production,26,24,0,2,0,0,0,4,208,207,15.5,8.0,58,No,19,92.31,Yes
ATT-202601-EMP0038,EMP0038,2026-01-01,Human Resources,26,25,0,1,0,0,0,5,208,200,0,12.0,52,No,20,96.15,No
ATT-202601-EMP0039,EMP0039,2026-01-01,Administration,26,24,2,0,0,0,0,4,208,192,0.1,10.5,52,No,35,92.31,No
ATT-202601-EMP0040,EMP0040,2026-01-01,Sales & Marketing,26,26,0,0,0,0,1,0,208,215,7.0,12.0,60,No,19,100.0,No
ATT-202601-EMP0041,EMP0041,2026-01-01,Human Resources,26,21,2,0,2,1,0,2,208,171,3.2,10.0,65,No,16,80.77,No
ATT-202601-EMP0042,EMP0042,2026-01-01,Information Technology,26,25,0,0,1,0,0,3,208,205,5.5,10.0,48,No,5,96.15,Yes
ATT-202601-EMP0043,EMP0043,2026-01-01,Sales & Marketing,26,25,1,0,0,0,0,1,208,218,18.9,9.0,58,No,26,96.15,Yes
ATT-202601-EMP0044,EMP0044,2026-01-01,Sales & Marketing,26,26,0,0,0,0,0,0,208,224,16.6,9.0,52,No,13,100.0,Yes
ATT-202601-EMP0045,EMP0045,2026-01-01,Production,26,23,3,0,0,0,0,2,208,191,7.1,9.0,56,No,10,88.46,Yes
ATT-202601-EMP0046,EMP0046,2026-01-01,Production,26,23,1,0,0,2,0,3,208,211,27.2,10.0,58,Yes,18,88.46,No
ATT-202601-EMP0047,EMP0047,2026-01-01,Quality Assurance,26,19,4,2,0,1,0,1,208,169,17.4,11.0,58,No,20,73.08,No
ATT-202601-EMP0048,EMP0048,2026-01-01,Finance & Accounts,26,26,0,0,0,0,0,3,208,221,13.7,11.0,58,No,27,100.0,No
ATT-202601-EMP0049,EMP0049,2026-01-01,Supply Chain,26,24,2,0,0,0,0,2,208,210,18.3,8.0,52,No,12,92.31,Yes
ATT-202601-EMP0050,EMP0050,2026-01-01,Production,26,23,3,0,0,0,0,3,208,216,32.1,9.0,48,No,8,88.46,Yes
ATT-202601-EMP0051,EMP0051,2026-01-01,Sales & Marketing,26,24,0,0,2,0,0,1,208,200,8.7,10.0,52,Yes,11,92.31,No
ATT-202601-EMP0052,EMP0052,2026-01-01,Information Technology,26,23,2,0,0,1,0,1,208,200,16.4,10.0,65,No,17,88.46,No
ATT-202601-EMP0053,EMP0053,2026-01-01,Production,26,25,0,0,0,1,1,0,208,211,11.6,10.0,65,No,28,96.15,No
ATT-202601-EMP0054,EMP0054,2026-01-01,Administration,26,25,0,1,0,0,0,3,208,200,0,10.0,60,No,30,96.15,Yes
ATT-202601-EMP0055,EMP0055,2026-01-01,Human Resources,26,24,2,0,0,0,1,0,208,198,6.8,9.0,62,No,32,92.31,No
ATT-202601-EMP0056,EMP0056,2026-01-01,Finance & Accounts,26,26,0,0,0,0,0,1,208,213,5.1,10.0,56,No,3,100.0,Yes
ATT-202601-EMP0057,EMP0057,2026-01-01,Administration,26,21,4,0,1,0,0,1,208,171,3.1,10.0,56,No,24,80.77,Yes
ATT-202601-EMP0058,EMP0058,2026-01-01,Supply Chain,26,23,2,1,0,0,0,0,208,191,7.1,8.0,48,No,7,88.46,Yes
ATT-202601-EMP0059,EMP0059,2026-01-01,Production,26,23,3,0,0,0,0,0,208,197,13.1,9.0,56,No,34,88.46,Yes
ATT-202601-EMP0060,EMP0060,2026-01-01,Production,26,26,0,0,0,0,0,3,208,211,3.9,12.0,52,No,17,100.0,No
ATT-202601-EMP0061,EMP0061,2026-01-01,Production,26,24,0,1,0,1,0,3,208,206,14.9,10.5,60,No,34,92.31,No
ATT-202601-EMP0062,EMP0062,2026-01-01,Human Resources,26,21,2,1,0,2,0,1,208,168,0,9.0,62,No,34,80.77,No
ATT-202601-EMP0063,EMP0063,2026-01-01,Supply Chain,26,23,1,1,0,1,0,2,208,184,0.4,10.0,52,Yes,27,88.46,No
ATT-202601-EMP0064,EMP0064,2026-01-01,Maintenance,26,23,2,0,0,1,1,0,208,198,14.3,9.0,65,No,15,88.46,No
ATT-202601-EMP0065,EMP0065,2026-01-01,Maintenance,26,23,1,2,0,0,0,0,208,191,7.8,10.5,56,No,27,88.46,No
ATT-202601-EMP0066,EMP0066,2026-01-01,Finance & Accounts,26,25,0,1,0,0,0,2,208,216,16.3,8.0,48,No,10,96.15,Yes
ATT-202601-EMP0067,EMP0067,2026-01-01,Administration,26,26,0,0,0,0,0,1,208,228,20.0,10.0,48,No,11,100.0,Yes
ATT-202601-EMP0068,EMP0068,2026-01-01,Information Technology,26,25,0,1,0,0,0,2,208,207,7.1,12.0,48,No,5,96.15,No
ATT-202601-EMP0069,EMP0069,2026-01-01,Quality Assurance,26,24,0,1,1,0,0,0,208,192,0.3,9.0,52,No,18,92.31,Yes
ATT-202601-EMP0070,EMP0070,2026-01-01,Production,26,26,0,0,0,0,0,1,208,223,15.5,8.0,58,Yes,15,100.0,No
ATT-202601-EMP0071,EMP0071,2026-01-01,Production,26,25,0,1,0,0,0,4,208,222,22.5,10.0,48,No,29,96.15,Yes
ATT-202601-EMP0072,EMP0072,2026-01-01,Information Technology,26,24,0,1,1,0,0,1,208,192,0,9.0,56,No,18,92.31,Yes
ATT-202601-EMP0073,EMP0073,2026-01-01,Quality Assurance,26,24,1,0,0,1,0,1,208,195,3.3,10.5,65,No,31,92.31,No
ATT-202601-EMP0074,EMP0074,2026-01-01,Production,26,19,4,0,0,3,0,4,208,180,28.8,8.0,48,No,23,73.08,Yes
ATT-202601-EMP0075,EMP0075,2026-01-01,Information Technology,26,24,2,0,0,0,0,2,208,200,8.1,11.0,56,No,9,92.31,No
ATT-202601-EMP0076,EMP0076,2026-01-01,Production,26,24,1,0,1,0,0,2,208,205,13.2,8.0,52,Yes,17,92.31,No
ATT-202601-EMP0077,EMP0077,2026-01-01,Supply Chain,26,24,1,1,0,0,0,1,208,197,5.1,9.0,62,No,17,92.31,No
ATT-202601-EMP0078,EMP0078,2026-01-01,Finance & Accounts,26,22,4,0,0,0,0,0,208,180,4.6,10.0,48,No,8,84.62,Yes
ATT-202601-EMP0079,EMP0079,2026-01-01,Maintenance,26,25,0,0,0,1,0,2,208,217,17.4,10.0,48,No,6,96.15,Yes
ATT-202601-EMP0080,EMP0080,2026-01-01,Supply Chain,26,25,1,0,0,0,0,1,208,200,0,8.0,48,No,18,96.15,Yes
ATT-202601-EMP0081,EMP0081,2026-01-01,Finance & Accounts,26,23,2,1,0,0,0,2,208,203,19.1,9.0,52,Yes,29,88.46,No
ATT-202601-EMP0082,EMP0082,2026-01-01,Sales & Marketing,26,21,3,1,0,1,0,0,208,169,1.2,10.0,56,No,20,80.77,Yes
ATT-202601-EMP0083,EMP0083,2026-01-01,Information Technology,26,23,0,0,2,1,0,0,208,191,7.1,8.0,52,No,9,88.46,Yes
ATT-202601-EMP0084,EMP0084,2026-01-01,Human Resources,26,24,2,0,0,0,0,0,208,195,3.4,8.0,56,No,3,92.31,Yes
ATT-202601-EMP0085,EMP0085,2026-01-01,Supply Chain,26,24,2,0,0,0,0,2,208,195,3.5,9.0,52,No,30,92.31,Yes
ATT-202601-EMP0086,EMP0086,2026-01-01,Quality Assurance,26,26,0,0,0,0,0,4,208,221,13.7,8.0,62,No,29,100.0,No
ATT-202601-EMP0087,EMP0087,2026-01-01,Sales & Marketing,26,22,2,0,2,0,0,4,208,176,0,10.0,56,No,9,84.62,Yes
ATT-202601-EMP0088,EMP0088,2026-01-01,Human Resources,26,21,2,2,0,1,0,3,208,182,14.3,10.0,52,No,12,80.77,Yes
ATT-202601-EMP0089,EMP0089,2026-01-01,Finance & Accounts,26,23,2,0,1,0,0,3,208,201,17.1,8.0,60,No,33,88.46,Yes
ATT-202601-EMP0090,EMP0090,2026-01-01,Production,26,25,1,0,0,0,0,0,208,210,10.0,9.0,52,No,13,96.15,Yes
ATT-202601-EMP0091,EMP0091,2026-01-01,Quality Assurance,26,19,4,1,0,2,0,1,208,171,19.7,8.0,60,Yes,26,73.08,No
ATT-202601-EMP0092,EMP0092,2026-01-01,Quality Assurance,26,23,0,2,0,1,0,1,208,210,26.4,8.0,65,No,4,88.46,No
ATT-202601-EMP0093,EMP0093,2026-01-01,Finance & Accounts,26,26,0,0,0,0,0,3,208,223,15.6,10.0,65,No,27,100.0,No
ATT-202601-EMP0094,EMP0094,2026-01-01,Human Resources,26,25,1,0,0,0,0,3,208,218,18.8,10.0,48,No,16,96.15,Yes
ATT-202601-EMP0095,EMP0095,2026-01-01,Production,26,24,0,1,1,0,0,1,208,206,14.9,8.0,58,No,5,92.31,Yes
ATT-202601-EMP0096,EMP0096,2026-01-01,Administration,26,25,0,0,0,1,1,4,208,202,2.4,10.0,56,Yes,4,96.15,No
ATT-202601-EMP0097,EMP0097,2026-01-01,Finance & Accounts,26,23,3,0,0,0,0,2,208,201,17.9,8.0,58,No,26,88.46,Yes
ATT-202601-EMP0098,EMP0098,2026-01-01,Quality Assurance,26,25,0,0,1,0,0,1,208,220,20.0,10.5,56,No,8,96.15,No
ATT-202601-EMP0099,EMP0099,2026-01-01,Information Technology,26,25,0,0,0,1,0,2,208,203,3.9,12.0,48,No,19,96.15,No
ATT-202601-EMP0100,EMP0100,2026-01-01,Information Technology,26,25,1,0,0,0,0,1,208,200,0,12.0,52,No,11,96.15,No
ATT-202601-EMP0101,EMP0101,2026-01-01,Administration,26,25,1,0,0,0,0,0,208,207,7.9,9.0,52,No,4,96.15,Yes
ATT-202601-EMP0102,EMP0102,2026-01-01,Finance & Accounts,26,24,2,0,0,0,0,1,208,212,20.8,10.5,58,No,32,92.31,No
ATT-202601-EMP0103,EMP0103,2026-01-01,Administration,26,22,1,1,1,1,0,4,208,189,13.5,10.5,56,No,26,84.62,No
ATT-202601-EMP0104,EMP0104,2026-01-01,Information Technology,26,25,1,0,0,0,0,0,208,200,0,8.0,56,No,16,96.15,Yes
ATT-202601-EMP0105,EMP0105,2026-01-01,Administration,26,23,1,1,1,0,0,3,208,184,0,10.5,58,No,24,88.46,No
ATT-202601-EMP0106,EMP0106,2026-01-01,Human Resources,26,25,0,0,1,0,0,1,208,200,0.2,8.0,58,No,25,96.15,Yes
ATT-202601-EMP0107,EMP0107,2026-01-01,Supply Chain,26,26,0,0,0,0,0,2,208,227,19.2,9.0,62,No,18,100.0,No
ATT-202601-EMP0108,EMP0108,2026-01-01,Production,26,22,2,0,1,1,0,0,208,197,21.3,10.0,48,No,14,84.62,Yes
