Employee_ID,Department,PF_Eligible,PF_Enrolled,Insurance_Eligible,Insurance_Enrolled,Gratuity_Eligible,Festival_Bonus_Eligible,Medical_Benefit,Transport_Benefit,Meal_Benefit,Benefit_Cost_Monthly,Enrollment_Compliance
EMP0001,Quality Assurance,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6350,Exception
EMP0002,Maintenance,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9070.0,Compliant
EMP0003,Production,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,14230.0,Compliant
EMP0004,Supply Chain,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10670.0,Compliant
EMP0005,Human Resources,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9630.0,Compliant
EMP0006,Production,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,13550.0,Compliant
EMP0007,Production,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5670.0,Compliant
EMP0008,Sales & Marketing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6030.0,Compliant
EMP0009,Information Technology,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,8380.0,Exception
EMP0010,Sales & Marketing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10950.0,Compliant
EMP0011,Human Resources,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9310.0,Compliant
EMP0012,Quality Assurance,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6350,Exception
EMP0013,Maintenance,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8950.0,Compliant
EMP0014,Maintenance,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5510.0,Compliant
EMP0015,Maintenance,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5630.0,Compliant
EMP0016,Finance & Accounts,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8670.0,Compliant
EMP0017,Production,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6270.0,Compliant
EMP0018,Administration,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5630.0,Compliant
EMP0019,Maintenance,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6110.0,Compliant
EMP0020,Sales & Marketing,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,5100.0,Exception
EMP0021,Quality Assurance,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6470.0,Compliant
EMP0022,Sales & Marketing,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5950,Exception
EMP0023,Quality Assurance,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6470.0,Compliant
EMP0024,Supply Chain,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8350.0,Compliant
EMP0025,Supply Chain,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,5220.0,Exception
EMP0026,Administration,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8590.0,Compliant
EMP0027,Production,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5870.0,Compliant
EMP0028,Production,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5510.0,Compliant
EMP0029,Information Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8390.0,Compliant
EMP0030,Information Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5470.0,Compliant
EMP0031,Administration,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5390.0,Compliant
EMP0032,Production,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4350,Exception
EMP0033,Sales & Marketing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9910.0,Compliant
EMP0034,Production,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6390.0,Compliant
EMP0035,Production,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,11030.0,Compliant
EMP0036,Administration,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5190.0,Compliant
EMP0037,Production,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,5260.0,Exception
EMP0038,Human Resources,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8470.0,Compliant
EMP0039,Administration,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,12470.0,Compliant
EMP0040,Sales & Marketing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10310.0,Compliant
EMP0041,Human Resources,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8350.0,Compliant
EMP0042,Information Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10750.0,Compliant
EMP0043,Sales & Marketing,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5950,Exception
EMP0044,Sales & Marketing,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5950,Exception
EMP0045,Production,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6430.0,Compliant
EMP0046,Production,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6350,Exception
EMP0047,Quality Assurance,No,No,Yes,No,No,Yes,Yes,Yes,Yes,3700,Exception
EMP0048,Finance & Accounts,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5550.0,Compliant
EMP0049,Supply Chain,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5270.0,Compliant
EMP0050,Production,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5950.0,Compliant
EMP0051,Sales & Marketing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8990.0,Compliant
EMP0052,Information Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5190.0,Compliant
EMP0053,Production,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6350,Exception
EMP0054,Administration,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8630.0,Compliant
EMP0055,Human Resources,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,3950,Compliant
