Table,Field,Data_Type,BI_Role,Description,Law_or_Compliance_Relevance,Suggested_Relationship
employees,Employee_ID,Text,Key,Employee ID,,Primary key
employees,Employee_Name,Text,Dimension,Employee Name,,
employees,Gender,Text,Dimension,Gender,,
employees,Department,Text,Dimension,Department,,
employees,Location,Text,Dimension,Location,,
employees,Grade,Text,Dimension,Grade,,
employees,Designation,Text,Dimension,Designation,,
employees,Employment_Type,Text,Dimension,Employment Type,,
employees,Worker_Category,Text,Dimension,Worker Category,,
employees,Join_Date,Date,Date,Join Date,,
employees,Date_of_Birth,Date,Date,Date of Birth,,
employees,Appointment_Letter,Text,Dimension,Appointment Letter,Labour Act s.5,
employees,ID_Card_Issued,Text,Dimension,ID Card Issued,Labour Act s.5,
employees,Bank_Account_Status,Text,Dimension,Bank Account Status,,
employees,TIN_Status,Text,Dimension,TIN Status,,
employees,Active_Status,Text,Dimension,Active Status,,
employees,Exit_Date,Date,Date,Exit Date,,
employees,Basic_Salary,Number,Measure,Basic Salary,,
employees,House_Allowance,Number,Measure,House Allowance,,
employees,Medical_Allowance,Number,Measure,Medical Allowance,,
employees,Conveyance_Allowance,Number,Measure,Conveyance Allowance,,
employees,Food_Allowance,Number,Measure,Food Allowance,,
employees,Configured_Wage_Floor,Number,Measure,Configured Wage Floor,Sector wage gazette configuration,
employees,PF_Enrolled,Text,Dimension,PF Enrolled,,
employees,Insurance_Enrolled,Text,Dimension,Insurance Enrolled,,
payroll_monthly,Payroll_ID,Text,Key,Payroll ID,,Primary key
payroll_monthly,Employee_ID,Text,Dimension,Employee ID,,Employee_ID -> employees.Employee_ID
payroll_monthly,Payroll_Month,Date,Date,Payroll Month,,
payroll_monthly,Department,Text,Dimension,Department,,
payroll_monthly,Gender,Text,Dimension,Gender,,
payroll_monthly,Basic,Number,Measure,Basic,,
payroll_monthly,House,Number,Measure,House,,
payroll_monthly,Medical,Number,Measure,Medical,,
payroll_monthly,Conveyance,Number,Measure,Conveyance,,
payroll_monthly,Food,Number,Measure,Food,,
payroll_monthly,Attendance_Bonus,Number,Measure,Attendance Bonus,,
payroll_monthly,OT_Hours,Number,Measure,OT Hours,,
payroll_monthly,OT_Rate,Number,Measure,OT Rate,,
payroll_monthly,OT_Pay,Number,Measure,OT Pay,,
payroll_monthly,Festival_Bonus,Number,Measure,Festival Bonus,,
payroll_monthly,Gross_Pay,Number,Measure,Gross Pay,,
payroll_monthly,Income_Tax,Number,Measure,Income Tax,,
payroll_monthly,PF_Employee,Number,Measure,PF Employee,,
payroll_monthly,Loan_Deduction,Number,Measure,Loan Deduction,,
payroll_monthly,Absent_Deduction,Number,Measure,Absent Deduction,,
payroll_monthly,Total_Deduction,Number,Measure,Total Deduction,,
payroll_monthly,Net_Pay,Number,Measure,Net Pay,,
payroll_monthly,Due_Date,Date,Date,Due Date,,
payroll_monthly,Pay_Date,Date,Date,Pay Date,,
payroll_monthly,Paid_On_Time,Text,Dimension,Paid On Time,Labour Act s.123,
