Law_ID,Law_or_Rule,Section_or_Topic,Dashboard_Control,Key_Requirement,Applicability,Source_URL,Verification_Note
LAW-01,"Bangladesh Labour Act, 2006 (as amended through 2026)","Sections 5, 8-9","Appointment letter, photo ID, service book and worker register",Maintain employment documentation and employee/worker records.,Non-EPZ establishments within the Act's scope,https://bdlaws.minlaw.gov.bd/act-print-952.html,Check the consolidated law and the 2026 amendment before operational use.
LAW-02,"Bangladesh Labour Act, 2006 (as amended through 2026)",Sections 45-49,Maternity benefit and leave,"120 days total maternity benefit/leave (60 days before and 60 days after), subject to statutory eligibility and conditions.",Eligible female workers under the Act,https://bdlaws.minlaw.gov.bd/act-print-952.html,"Eligibility, living-child condition and payment procedure must be reviewed case-by-case."
LAW-03,"Bangladesh Labour Act, 2006 (as amended through 2026)",Sections 100-103,"Daily/weekly hours, rest breaks and weekly holiday",Normally 8 hours/day and 48 hours/week; statutory limits and rest/weekly holiday controls apply.,Adult workers under the Act,https://bdlaws.minlaw.gov.bd/act-print-952.html,Sector permissions and special categories may differ.
LAW-04,"Bangladesh Labour Act, 2006 (as amended through 2026)",Section 108,Overtime rate,Overtime allowance is payable at twice the ordinary rate for the specified wage components.,Workers performing overtime under the Act,https://bdlaws.minlaw.gov.bd/act-print-952.html,The workbook uses a configurable demo hourly divisor; verify the applicable rules and wage components.
LAW-05,"Bangladesh Labour Act, 2006 (as amended through 2026)",Sections 115-118,"Casual, sick, earned and festival leave",10 days casual leave; 14 days sick leave; earned leave rules; 13 paid festival holidays.,"Workers under the Act, subject to category exceptions",https://bdlaws.minlaw.gov.bd/act-print-952.html,"Tea garden, newspaper and minor-worker rules differ."
LAW-06,"Bangladesh Labour Act, 2006 (as amended through 2026)",Sections 121-124,"Wage period, payment deadline and payment method",Wage period cannot exceed one month; wages are generally payable within seven working days after the wage period.,Workers under the Act,https://bdlaws.minlaw.gov.bd/act-print-952.html,Termination dues and exceptional cases have separate timelines.
LAW-07,"Bangladesh Labour Act, 2006 (as amended through 2026)",Sections 138-140,Minimum wage compliance,"Use the current government gazette for the applicable industry, grade and location.",Sector-specific minimum wage schedules,https://bdlaws.minlaw.gov.bd/act-print-952.html,There is no single universal private-sector floor in this model; update Configured_Wage_Floor.
LAW-08,"Bangladesh Labour Act, 2006 (as amended through 2026)",Sections 233-242 / WPPF,Workers' profit participation and welfare funds,Eligible companies/establishments must assess WPPF and welfare-fund obligations.,Only establishments meeting statutory applicability conditions,https://bdlaws.minlaw.gov.bd/act-print-952.html,"Confirm applicability, net-profit base, fund ratios and tax treatment with specialists."
LAW-09,"Bangladesh Labour Rules, 2015 (amended 2022)","Registers, forms and implementation procedures","Supporting registers, leave/payroll forms and inspection evidence","Maintain prescribed forms, registers and implementation evidence.",Establishments under the Labour Act,https://dife.gov.bd/pages/static-pages/6922dc42933eb65569e0f517,Use the amended 2022 rules and current DIFE instructions.
LAW-10,"Bangladesh Labour (Amendment) Act, 2026",Act No. 43 of 2026,Current statutory update baseline,"The 2026 amendment updates multiple employment, leave, worker and enforcement provisions.",Where the Bangladesh Labour Act applies,https://bdlaws.minlaw.gov.bd/act-1672.html,"Read with the consolidated Bangladesh Labour Act, 2006."
LAW-11,"Income Tax Act, 2023",Salary income and deduction/withholding obligations,Salary tax documentation and deductions,"Apply current tax-year rules, exemptions, rebates and salary withholding requirements.",Taxable employees and responsible withholding entities,https://nbr.gov.bd/regulations/acts/income-tax-acts/eng,The demo tax values are not a legal tax calculator.
LAW-12,"Withholding Tax Rules, 2026 (including July 2026 amendment)",Current withholding procedures,Payroll TDS process and evidence,"Use the current withholding rules, forms and remittance/reporting process.",Entities required to deduct/withhold tax,https://nbr.gov.bd/regulations/rules/income-tax-rules/eng,Validate the latest NBR rules and amendment before payroll finalisation.
LAW-13,"Bangladesh EPZ Labour Act, 2019","EPZ employment, wages, hours, leave and welfare",EPZ applicability switch,EPZ/zone establishments must use the EPZ-specific legal framework.,EPZ/zone establishments only,https://bdlaws.minlaw.gov.bd/act-print-1285.html,Do not apply the non-EPZ dashboard thresholds without checking the EPZ law.
LAW-14,"DIFE licensing, inspection and occupational safety requirements","Licensing, inspection, safety committee, fire and OSH evidence",Compliance evidence and inspection readiness,"Maintain current licences, inspection evidence, safety controls and required committees.",Factories and establishments within DIFE jurisdiction,https://dife.gov.bd/,"Requirements depend on establishment type, size, process and risk."
