Employee_ID,Department,Casual_Entitlement_Annual,Casual_Used_YTD,Sick_Entitlement_Annual,Sick_Used_YTD,Earned_Leave_Entitlement_Demo,Earned_Leave_Used_YTD,Festival_Holiday_Entitlement,Festival_Holidays_Worked_YTD,Maternity_Entitlement_Days,Leave_Record_Compliance
EMP0001,Quality Assurance,10,1,14,0,14,0,13,1,120,Compliant
EMP0002,Maintenance,10,3,14,0,14,2,13,0,120,Compliant
EMP0003,Production,10,2,14,1,14,1,13,0,120,Compliant
EMP0004,Supply Chain,10,6,14,1,14,0,13,0,120,Compliant
EMP0005,Human Resources,10,1,14,1,14,0,13,1,120,Compliant
EMP0006,Production,10,0,14,3,14,3,13,0,120,Compliant
EMP0007,Production,10,1,14,2,14,4,13,1,120,Compliant
EMP0008,Sales & Marketing,10,3,14,2,14,5,13,0,120,Compliant
EMP0009,Information Technology,10,4,14,0,14,1,13,1,120,Compliant
EMP0010,Sales & Marketing,10,6,14,2,14,7,13,0,120,Compliant
EMP0011,Human Resources,10,1,14,0,14,2,13,0,120,Compliant
EMP0012,Quality Assurance,10,1,14,2,14,0,13,1,120,Compliant
EMP0013,Maintenance,10,3,14,1,14,1,13,0,120,Compliant
EMP0014,Maintenance,10,0,14,1,14,1,13,0,120,Compliant
EMP0015,Maintenance,10,1,14,1,14,2,13,1,120,Compliant
EMP0016,Finance & Accounts,10,2,14,3,14,2,13,0,120,Compliant
EMP0017,Production,10,4,14,0,14,5,13,0,120,Compliant
EMP0018,Administration,10,3,14,2,14,4,13,0,120,Compliant
EMP0019,Maintenance,10,2,14,1,14,5,13,0,120,Compliant
EMP0020,Sales & Marketing,10,2,14,0,14,2,13,0,120,Compliant
EMP0021,Quality Assurance,10,0,14,1,14,3,13,0,120,Compliant
EMP0022,Sales & Marketing,10,2,14,1,14,2,13,0,120,Compliant
EMP0023,Quality Assurance,10,2,14,2,14,1,13,0,120,Compliant
EMP0024,Supply Chain,10,1,14,0,14,0,13,1,120,Compliant
EMP0025,Supply Chain,10,1,14,1,14,0,13,0,120,Compliant
EMP0026,Administration,10,1,14,0,14,1,13,0,120,Compliant
